population,value,rank,token,z_score,n_focal,n_comparison,focal_size,comparison_size
Joint,AC,1,promoting,3.6178794559795104,10,3,601,2017
Joint,AC,2,impact,3.162839006100497,8,1,601,2017
Joint,AC,3,social,3.0741535506396147,7,2,601,2017
Joint,AC,4,processes,2.7442595348496956,6,1,601,2017
Joint,AC,5,influence,2.60371979921359,6,3,601,2017
Joint,AC,6,ability,2.46868575884993,5,2,601,2017
Joint,AC,7,creating,2.3017919142663734,4,1,601,2017
Joint,AC,8,significant,2.2920601264880665,4,1,601,2017
Joint,AC,9,organization,2.1427367186056556,9,11,601,2017
Joint,AC,10,increasing,2.1204344372342936,4,2,601,2017
Joint,AC,11,professionalism,2.114111141568751,9,11,601,2017
Joint,AC,12,personal,2.0070363208195348,6,6,601,2017
Joint,AC,13,feel,1.9749508532511595,3,1,601,2017
Joint,AC,14,among,1.9629020684108516,3,1,601,2017
Joint,AC,15,positive,1.9524771966399352,3,1,601,2017
Joint,AC,16,system,1.9481975700847267,3,1,601,2017
Joint,AC,17,move,1.9416494388426662,3,1,601,2017
Joint,AC,18,people,1.9302877429208969,3,0,601,2017
Joint,AC,19,society,1.8879366753743665,3,0,601,2017
Joint,AC,20,government,1.8875712253140258,8,0,601,2017
